KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,878318,1.19437e+06,157791,12833,5.14768,7,0
4,1,0.5,789077,1.19437e+06,153256,17368,4.62466,7,0
4,1,0.8,706870,1.19437e+06,148385,22239,4.14285,7,0
4,0.1,0.3,827018,1.19437e+06,153256,17368,4.84702,7,0
4,0.1,0.5,827018,1.19437e+06,153256,17368,4.84702,7,0
4,0.1,0.8,718852,1.19437e+06,148385,22239,4.21308,7,0
4,10,0.3,1.10123e+06,1.19437e+06,170544,80,6.45413,7,0
4,10,0.5,779162,1.19437e+06,153256,17368,4.56654,7,0
4,10,0.8,715686,1.19437e+06,148385,22239,4.19452,7,0
4,0.01,0.3,882820,1.19437e+06,153256,17368,5.17407,7,0
4,0.01,0.5,882820,1.19437e+06,153256,17368,5.17407,7,0
4,0.01,0.8,739291,1.19437e+06,148385,22239,4.33287,7,0
4,100,0.3,1.10142e+06,1.19437e+06,170544,80,6.45523,7,0
4,100,0.5,779783,1.19437e+06,153256,17368,4.57019,7,0
4,100,0.8,715686,1.19437e+06,148385,22239,4.19452,7,0
6,1,0.3,887137,1.19437e+06,125370,45254,5.19937,7,0
6,1,0.5,843000,1.19437e+06,117598,53026,4.94069,7,0
6,1,0.8,776172,1.19437e+06,106261,64363,4.54902,7,0
6,0.1,0.3,912429,1.19437e+06,125370,45254,5.3476,7,0
6,0.1,0.5,867111,1.19437e+06,117598,53026,5.082,7,0
6,0.1,0.8,793835,1.19437e+06,107762,62862,4.65254,7,0
6,10,0.3,1.10191e+06,1.19437e+06,170347,277,6.45814,7,0
6,10,0.5,836420,1.19437e+06,117598,53026,4.90213,7,0
6,10,0.8,780472,1.19437e+06,106261,64363,4.57422,7,0
6,0.01,0.3,949927,1.19437e+06,125370,45254,5.56737,7,0
6,0.01,0.5,902319,1.19437e+06,117598,53026,5.28835,7,0
6,0.01,0.8,813106,1.19437e+06,107762,62862,4.76549,7,0
6,100,0.3,1.1021e+06,1.19437e+06,170347,277,6.45925,7,0
6,100,0.5,836911,1.19437e+06,117598,53026,4.905,7,0
6,100,0.8,780473,1.19437e+06,106261,64363,4.57423,7,0
8,1,0.3,932044,1.19437e+06,86401,84223,5.46256,7,0
8,1,0.5,912139,1.19437e+06,79218,91406,5.3459,7,0
8,1,0.8,873271,1.19437e+06,67009,103615,5.1181,7,0
8,0.1,0.3,946952,1.19437e+06,86401,84223,5.54994,7,0
8,0.1,0.5,926211,1.19437e+06,79218,91406,5.42837,7,0
8,0.1,0.8,879205,1.19437e+06,67977,102647,5.15288,7,0
8,10,0.3,1.10163e+06,1.19437e+06,170329,295,6.4565,7,0
8,10,0.5,908351,1.19437e+06,79218,91406,5.3237,7,0
8,10,0.8,875717,1.19437e+06,67009,103615,5.13244,7,0
8,0.01,0.3,969066,1.19437e+06,86401,84223,5.67954,7,0
8,0.01,0.5,946738,1.19437e+06,79218,91406,5.54868,7,0
8,0.01,0.8,887659,1.19437e+06,67977,102647,5.20243,7,0
8,100,0.3,1.10182e+06,1.19437e+06,170329,295,6.45761,7,0
8,100,0.5,908852,1.19437e+06,79218,91406,5.32664,7,0
8,100,0.8,875719,1.19437e+06,67009,103615,5.13245,7,0
10,1,0.3,986134,1.19437e+06,61251,109373,5.77958,7,0
10,1,0.5,966840,1.19437e+06,51015,119609,5.6665,7,0
10,1,0.8,945702,1.19437e+06,41363,129261,5.54261,7,0
10,0.1,0.3,994767,1.19437e+06,61251,109373,5.83017,7,0
10,0.1,0.5,974683,1.19437e+06,51015,119609,5.71246,7,0
10,0.1,0.8,948089,1.19437e+06,41363,129261,5.5566,7,0
10,10,0.3,1.10164e+06,1.19437e+06,170327,297,6.45654,7,0
10,10,0.5,964738,1.19437e+06,51015,119609,5.65418,7,0
10,10,0.8,947432,1.19437e+06,40786,129838,5.55275,7,0
10,0.01,0.3,1.0078e+06,1.19437e+06,61251,109373,5.90655,7,0
10,0.01,0.5,986093,1.19437e+06,51015,119609,5.77933,7,0
