KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,2.54167e+07,3.50371e+07,4965833,39474,5.07794,7,4
4,1,0.5,2.23328e+07,3.50371e+07,4947680,57627,4.46183,7,4
4,1,0.8,1.97024e+07,3.50371e+07,4927195,78112,3.93631,7,4
4,0.1,0.3,2.35117e+07,3.50371e+07,4947680,57627,4.69735,7,4
4,0.1,0.5,2.35117e+07,3.50371e+07,4947680,57627,4.69735,7,4
4,0.1,0.8,2.01013e+07,3.50371e+07,4927195,78112,4.01601,7,4
4,10,0.3,3.32734e+07,3.50371e+07,5005205,102,6.64762,7,3
4,10,0.5,2.20259e+07,3.50371e+07,4947680,57627,4.40052,7,4
4,10,0.8,2.00374e+07,3.50371e+07,4927195,78112,4.00323,7,4
4,0.01,0.3,2.52382e+07,3.50371e+07,4947680,57627,5.04228,7,4
4,0.01,0.5,2.52382e+07,3.50371e+07,4947680,57627,5.04228,7,4
4,0.01,0.8,2.07847e+07,3.50371e+07,4927195,78112,4.15253,7,4
4,100,0.3,3.32736e+07,3.50371e+07,5005205,102,6.64766,7,3
4,100,0.5,2.20553e+07,3.50371e+07,4947680,57627,4.40639,7,4
4,100,0.8,2.00374e+07,3.50371e+07,4927195,78112,4.00323,7,4
6,1,0.3,2.49687e+07,3.50371e+07,4694703,310604,4.98844,7,6
6,1,0.5,2.29708e+07,3.50371e+07,4608182,397125,4.58929,7,6
6,1,0.8,2.00051e+07,3.50371e+07,4472892,532415,3.99677,7,7
6,0.1,0.3,2.58915e+07,3.50371e+07,4694703,310604,5.1728,7,6
6,0.1,0.5,2.39075e+07,3.50371e+07,4608182,397125,4.77643,7,7
6,0.1,0.8,2.0805e+07,3.50371e+07,4491255,514052,4.15658,7,7
6,10,0.3,3.33459e+07,3.50371e+07,5005008,299,6.6621,7,4
6,10,0.5,2.27076e+07,3.50371e+07,4608182,397125,4.53671,7,7
6,10,0.8,2.01667e+07,3.50371e+07,4472892,532415,4.02905,7,8
6,0.01,0.3,2.72487e+07,3.50371e+07,4694703,310604,5.44396,7,6
6,0.01,0.5,2.52684e+07,3.50371e+07,4608182,397125,5.04832,7,6
6,0.01,0.8,2.1605e+07,3.50371e+07,4491255,514052,4.31642,7,7
6,100,0.3,3.33461e+07,3.50371e+07,5005008,299,6.66214,7,4
6,100,0.5,2.27254e+07,3.50371e+07,4608182,397125,4.54025,7,7
6,100,0.8,2.01667e+07,3.50371e+07,4472892,532415,4.02905,7,7
8,1,0.3,2.62411e+07,3.50371e+07,3973781,1031526,5.24266,7,10
8,1,0.5,2.50978e+07,3.50371e+07,3808999,1196308,5.01424,7,12
8,1,0.8,2.28952e+07,3.50371e+07,3511316,1493991,4.57419,7,14
8,0.1,0.3,2.69304e+07,3.50371e+07,3973781,1031526,5.38036,7,11
8,0.1,0.5,2.57748e+07,3.50371e+07,3808999,1196308,5.1495,7,12
8,0.1,0.8,2.31764e+07,3.50371e+07,3533622,1471685,4.63037,7,13
8,10,0.3,3.33715e+07,3.50371e+07,5004990,317,6.66723,7,5
8,10,0.5,2.49048e+07,3.50371e+07,3808999,1196308,4.97568,7,12
8,10,0.8,2.30031e+07,3.50371e+07,3511316,1493991,4.59575,7,15
8,0.01,0.3,2.79427e+07,3.50371e+07,3973781,1031526,5.58262,7,11
8,0.01,0.5,2.67577e+07,3.50371e+07,3808999,1196308,5.34586,7,12
8,0.01,0.8,2.35505e+07,3.50371e+07,3533622,1471685,4.70512,7,13
8,100,0.3,3.33717e+07,3.50371e+07,5004990,317,6.66726,7,5
8,100,0.5,2.49199e+07,3.50371e+07,3808999,1196308,4.9787,7,12
8,100,0.8,2.30031e+07,3.50371e+07,3511316,1493991,4.59575,7,13
10,1,0.3,2.8903e+07,3.50371e+07,3211205,1794102,5.77446,7,16
10,1,0.5,2.77545e+07,3.50371e+07,2824954,2180353,5.54501,7,18
10,1,0.8,2.64969e+07,3.50371e+07,2471317,2533990,5.29376,7,20
10,0.1,0.3,2.93686e+07,3.50371e+07,3211205,1794102,5.8675,7,16
10,0.1,0.5,2.82069e+07,3.50371e+07,2824954,2180353,5.6354,7,18
10,0.1,0.8,2.66013e+07,3.50371e+07,2471317,2533990,5.31462,7,20
10,10,0.3,3.33715e+07,3.50371e+07,5004988,319,6.66723,7,6
10,10,0.5,2.76269e+07,3.50371e+07,2824954,2180353,5.51952,7,18
10,10,0.8,2.66028e+07,3.50371e+07,2452182,2553125,5.31492,7,20
10,0.01,0.3,3.0069e+07,3.50371e+07,3211205,1794102,6.00743,7,16
10,0.01,0.5,2.88641e+07,3.50371e+07,2824954,2180353,5.7667,7,18
