KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,4.77975e+07,4.53364e+07,22668089,136,2.10857,2,16
4,1,0.5,4.81455e+07,4.53364e+07,22667999,226,2.12392,2,16
4,1,0.8,4.73319e+07,4.53364e+07,22667968,257,2.08803,2,18
4,0.1,0.3,5.23253e+07,4.53364e+07,22667999,226,2.30831,2,17
4,0.1,0.5,5.23253e+07,4.53364e+07,22667999,226,2.30831,2,17
4,0.1,0.8,4.76601e+07,4.53364e+07,22667968,257,2.10251,2,17
4,10,0.3,4.52408e+07,4.53364e+07,22668209,16,1.99578,2,15
4,10,0.5,4.68859e+07,4.53364e+07,22667999,226,2.06835,2,16
4,10,0.8,4.74197e+07,4.53364e+07,22667968,257,2.0919,2,17
4,0.01,0.3,5.84724e+07,4.53364e+07,22667999,226,2.57949,2,17
4,0.01,0.5,5.84724e+07,4.53364e+07,22667999,226,2.57949,2,17
4,0.01,0.8,4.82026e+07,4.53364e+07,22667968,257,2.12644,2,17
4,100,0.3,4.52409e+07,4.53364e+07,22668209,16,1.99578,2,15
4,100,0.5,4.68402e+07,4.53364e+07,22667999,226,2.06634,2,17
4,100,0.8,4.74197e+07,4.53364e+07,22667968,257,2.0919,2,17
6,1,0.3,4.55665e+07,4.53364e+07,22665699,2526,2.01015,2,17
6,1,0.5,4.5624e+07,4.53364e+07,22664925,3300,2.01269,2,17
6,1,0.8,4.67938e+07,4.53364e+07,22664129,4096,2.06429,2,18
6,0.1,0.3,4.8792e+07,4.53364e+07,22665699,2526,2.15244,2,17
6,0.1,0.5,4.83011e+07,4.53364e+07,22664925,3300,2.13078,2,18
6,0.1,0.8,4.64419e+07,4.53364e+07,22664213,4012,2.04877,2,18
6,10,0.3,4.529e+07,4.53364e+07,22668092,133,1.99795,2,16
6,10,0.5,4.48686e+07,4.53364e+07,22664925,3300,1.97936,2,18
6,10,0.8,4.71923e+07,4.53364e+07,22664129,4096,2.08187,2,19
6,0.01,0.3,5.3555e+07,4.53364e+07,22665699,2526,2.36256,2,17
6,0.01,0.5,5.22526e+07,4.53364e+07,22664925,3300,2.3051,2,18
6,0.01,0.8,4.70013e+07,4.53364e+07,22664213,4012,2.07344,2,18
6,100,0.3,4.529e+07,4.53364e+07,22668092,133,1.99795,2,15
6,100,0.5,4.50259e+07,4.53364e+07,22664925,3300,1.9863,2,18
6,100,0.8,4.71924e+07,4.53364e+07,22664129,4096,2.08187,2,19
8,1,0.3,4.12468e+07,4.53364e+07,22621310,46915,1.81959,2,18
8,1,0.5,4.14572e+07,4.53364e+07,22612891,55334,1.82887,2,19
8,1,0.8,4.50926e+07,4.53364e+07,22602781,65444,1.98924,2,21
8,0.1,0.3,4.3611e+07,4.53364e+07,22621310,46915,1.92388,2,19
8,0.1,0.5,4.31807e+07,4.53364e+07,22612891,55334,1.9049,2,20
8,0.1,0.8,4.46713e+07,4.53364e+07,22603391,64834,1.97066,2,19
8,10,0.3,4.52942e+07,4.53364e+07,22667966,259,1.99814,2,17
8,10,0.5,4.10629e+07,4.53364e+07,22612891,55334,1.81147,2,19
8,10,0.8,4.62323e+07,4.53364e+07,22602781,65444,2.03952,2,20
8,0.01,0.3,4.71042e+07,4.53364e+07,22621310,46915,2.07798,2,18
8,0.01,0.5,4.57332e+07,4.53364e+07,22612891,55334,2.0175,2,18
8,0.01,0.8,4.49589e+07,4.53364e+07,22603391,64834,1.98334,2,20
8,100,0.3,4.52943e+07,4.53364e+07,22667966,259,1.99814,2,17
8,100,0.5,4.15802e+07,4.53364e+07,22612891,55334,1.83429,2,18
8,100,0.8,4.62323e+07,4.53364e+07,22602781,65444,2.03952,2,19
10,1,0.3,3.83452e+07,4.53364e+07,22150869,517356,1.69159,2,22
10,1,0.5,3.81653e+07,4.53364e+07,21921293,746932,1.68365,2,24
10,1,0.8,4.16952e+07,4.53364e+07,21758943,909282,1.83937,2,25
10,0.1,0.3,4.00808e+07,4.53364e+07,22150869,517356,1.76815,2,23
10,0.1,0.5,3.93176e+07,4.53364e+07,21921293,746932,1.73448,2,23
10,0.1,0.8,4.18579e+07,4.53364e+07,21758943,909282,1.84655,2,24
10,10,0.3,4.52928e+07,4.53364e+07,22667606,619,1.99807,2,21
10,10,0.5,3.79989e+07,4.53364e+07,21921293,746932,1.6763,2,23
10,10,0.8,4.49693e+07,4.53364e+07,21751582,916643,1.9838,2,25
10,0.01,0.3,4.26568e+07,4.53364e+07,22150869,517356,1.88179,2,23
10,0.01,0.5,4.10288e+07,4.53364e+07,21921293,746932,1.80997,2,24
