KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,2.00732e+06,2.41259e+06,325036,19620,5.82414,7,0
4,1,0.5,1.82899e+06,2.41259e+06,318185,26471,5.3067,7,0
4,1,0.8,1.69968e+06,2.41259e+06,312634,32022,4.93154,7,0
4,0.1,0.3,1.90817e+06,2.41259e+06,318185,26471,5.53646,7,0
4,0.1,0.5,1.90817e+06,2.41259e+06,318185,26471,5.53646,7,0
4,0.1,0.8,1.71602e+06,2.41259e+06,312634,32022,4.97893,7,0
4,10,0.3,2.30614e+06,2.41259e+06,344596,60,6.69115,7,0
4,10,0.5,1.80524e+06,2.41259e+06,318185,26471,5.23779,7,0
4,10,0.8,1.70263e+06,2.41259e+06,312634,32022,4.9401,7,0
4,0.01,0.3,2.02423e+06,2.41259e+06,318185,26471,5.87318,7,0
4,0.01,0.5,2.02423e+06,2.41259e+06,318185,26471,5.87318,7,0
4,0.01,0.8,1.74251e+06,2.41259e+06,312634,32022,5.0558,7,0
4,100,0.3,2.30633e+06,2.41259e+06,344596,60,6.69168,7,0
4,100,0.5,1.80284e+06,2.41259e+06,318185,26471,5.23085,7,0
4,100,0.8,1.70263e+06,2.41259e+06,312634,32022,4.9401,7,0
6,1,0.3,2.05252e+06,2.41259e+06,247668,96988,5.95529,7,0
6,1,0.5,1.98206e+06,2.41259e+06,230099,114557,5.75084,7,0
6,1,0.8,1.89983e+06,2.41259e+06,209580,135076,5.51225,7,1
6,0.1,0.3,2.10589e+06,2.41259e+06,247668,96988,6.11014,7,0
6,0.1,0.5,2.03097e+06,2.41259e+06,230099,114557,5.89274,7,0
6,0.1,0.8,1.92278e+06,2.41259e+06,211264,133392,5.57883,7,1
6,10,0.3,2.30613e+06,2.41259e+06,344399,257,6.6911,7,0
6,10,0.5,1.96746e+06,2.41259e+06,230099,114557,5.70846,7,1
6,10,0.8,1.90132e+06,2.41259e+06,209580,135076,5.51657,7,1
6,0.01,0.3,2.18594e+06,2.41259e+06,247668,96988,6.34238,7,0
6,0.01,0.5,2.10276e+06,2.41259e+06,230099,114557,6.10105,7,1
6,0.01,0.8,1.94869e+06,2.41259e+06,211264,133392,5.65402,7,1
6,100,0.3,2.30631e+06,2.41259e+06,344399,257,6.69163,7,0
6,100,0.5,1.96607e+06,2.41259e+06,230099,114557,5.70443,7,1
6,100,0.8,1.90132e+06,2.41259e+06,209580,135076,5.51658,7,1
8,1,0.3,2.23191e+06,2.41259e+06,138269,206387,6.47576,7,1
8,1,0.5,2.21518e+06,2.41259e+06,122716,221940,6.42723,7,1
8,1,0.8,2.19099e+06,2.41259e+06,103296,241360,6.35704,7,1
8,0.1,0.3,2.25809e+06,2.41259e+06,138269,206387,6.55173,7,1
8,0.1,0.5,2.2387e+06,2.41259e+06,122716,221940,6.49546,7,1
8,0.1,0.8,2.19497e+06,2.41259e+06,103902,240754,6.36857,7,1
8,10,0.3,2.30826e+06,2.41259e+06,344381,275,6.69728,7,0
8,10,0.5,2.2083e+06,2.41259e+06,122716,221940,6.40725,7,1
8,10,0.8,2.19207e+06,2.41259e+06,103296,241360,6.36016,7,2
8,0.01,0.3,2.2974e+06,2.41259e+06,138269,206387,6.66577,7,1
8,0.01,0.5,2.27329e+06,2.41259e+06,122716,221940,6.59582,7,1
8,0.01,0.8,2.20122e+06,2.41259e+06,103902,240754,6.38673,7,1
8,100,0.3,2.30845e+06,2.41259e+06,344381,275,6.69783,7,0
8,100,0.5,2.20781e+06,2.41259e+06,122716,221940,6.40584,7,1
8,100,0.8,2.19207e+06,2.41259e+06,103296,241360,6.36016,7,1
10,1,0.3,2.37249e+06,2.41259e+06,72613,272043,6.88366,7,2
10,1,0.5,2.36794e+06,2.41259e+06,54679,289977,6.87044,7,2
10,1,0.8,2.36199e+06,2.41259e+06,44275,300381,6.85319,7,2
10,0.1,0.3,2.38414e+06,2.41259e+06,72613,272043,6.91745,7,1
10,0.1,0.5,2.37733e+06,2.41259e+06,54679,289977,6.89769,7,1
10,0.1,0.8,2.36298e+06,2.41259e+06,44275,300381,6.85605,7,2
10,10,0.3,2.30827e+06,2.41259e+06,344379,277,6.6973,7,0
10,10,0.5,2.36526e+06,2.41259e+06,54679,289977,6.86266,7,2
10,10,0.8,2.36274e+06,2.41259e+06,44032,300624,6.85536,7,2
10,0.01,0.3,2.4022e+06,2.41259e+06,72613,272043,6.96984,7,1
10,0.01,0.5,2.39115e+06,2.41259e+06,54679,289977,6.9378,7,2
