KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,2.58848e+07,3.05e+07,10166342,325,2.54605,3,7
4,1,0.5,2.61471e+07,3.05e+07,10166190,477,2.57185,3,7
4,1,0.8,2.55887e+07,3.05e+07,10166155,512,2.51693,3,7
4,0.1,0.3,2.77767e+07,3.05e+07,10166190,477,2.73214,3,7
4,0.1,0.5,2.77767e+07,3.05e+07,10166190,477,2.73214,3,7
4,0.1,0.8,2.56418e+07,3.05e+07,10166155,512,2.52214,3,7
4,10,0.3,2.35304e+07,3.05e+07,10166651,16,2.31446,3,6
4,10,0.5,2.56545e+07,3.05e+07,10166190,477,2.52339,3,7
4,10,0.8,2.55739e+07,3.05e+07,10166155,512,2.51546,3,7
4,0.01,0.3,3.0195e+07,3.05e+07,10166190,477,2.97,3,7
4,0.01,0.5,3.0195e+07,3.05e+07,10166190,477,2.97,3,7
4,0.01,0.8,2.5724e+07,3.05e+07,10166155,512,2.53023,3,7
4,100,0.3,2.35304e+07,3.05e+07,10166651,16,2.31447,3,6
4,100,0.5,2.55824e+07,3.05e+07,10166190,477,2.51631,3,7
4,100,0.8,2.55739e+07,3.05e+07,10166155,512,2.51546,3,7
6,1,0.3,2.60182e+07,3.05e+07,10158561,8106,2.55917,3,7
6,1,0.5,2.59238e+07,3.05e+07,10156926,9741,2.54988,3,8
6,1,0.8,2.55861e+07,3.05e+07,10156427,10240,2.51667,3,8
6,0.1,0.3,2.75576e+07,3.05e+07,10158561,8106,2.71058,3,7
6,0.1,0.5,2.69121e+07,3.05e+07,10156926,9741,2.64709,3,8
6,0.1,0.8,2.56482e+07,3.05e+07,10156432,10235,2.52278,3,8
6,10,0.3,2.35302e+07,3.05e+07,10166563,104,2.31445,3,7
6,10,0.5,2.56306e+07,3.05e+07,10156926,9741,2.52105,3,7
6,10,0.8,2.55853e+07,3.05e+07,10156427,10240,2.51658,3,8
6,0.01,0.3,2.98661e+07,3.05e+07,10158561,8106,2.93765,3,7
6,0.01,0.5,2.83843e+07,3.05e+07,10156926,9741,2.7919,3,8
6,0.01,0.8,2.5722e+07,3.05e+07,10156432,10235,2.53003,3,8
6,100,0.3,2.35302e+07,3.05e+07,10166563,104,2.31445,3,6
6,100,0.5,2.55886e+07,3.05e+07,10156926,9741,2.51691,3,8
6,100,0.8,2.55853e+07,3.05e+07,10156427,10240,2.51658,3,8
8,1,0.3,2.60082e+07,3.05e+07,9996346,170321,2.55818,3,9
8,1,0.5,2.58777e+07,3.05e+07,9976328,190339,2.54535,3,10
8,1,0.8,2.56715e+07,3.05e+07,9970064,196603,2.52507,3,10
8,0.1,0.3,2.71776e+07,3.05e+07,9996346,170321,2.6732,3,9
8,0.1,0.5,2.6502e+07,3.05e+07,9976328,190339,2.60675,3,9
8,0.1,0.8,2.56765e+07,3.05e+07,9970068,196599,2.52556,3,9
8,10,0.3,2.35302e+07,3.05e+07,10166393,274,2.31445,3,9
8,10,0.5,2.56954e+07,3.05e+07,9976328,190339,2.52742,3,10
8,10,0.8,2.56714e+07,3.05e+07,9970064,196603,2.52506,3,10
8,0.01,0.3,2.89282e+07,3.05e+07,9996346,170321,2.8454,3,10
8,0.01,0.5,2.74343e+07,3.05e+07,9976328,190339,2.69846,3,10
8,0.01,0.8,2.56825e+07,3.05e+07,9970068,196599,2.52615,3,10
8,100,0.3,2.35303e+07,3.05e+07,10166393,274,2.31445,3,8
8,100,0.5,2.567e+07,3.05e+07,9976328,190339,2.52492,3,10
8,100,0.8,2.56714e+07,3.05e+07,9970064,196603,2.52506,3,10
10,1,0.3,2.66036e+07,3.05e+07,8371326,1795341,2.61675,3,13
10,1,0.5,2.67806e+07,3.05e+07,7928178,2238489,2.63415,3,13
10,1,0.8,2.66946e+07,3.05e+07,7885288,2281379,2.6257,3,13
10,0.1,0.3,2.75564e+07,3.05e+07,8371326,1795341,2.71046,3,13
10,0.1,0.5,2.71021e+07,3.05e+07,7928178,2238489,2.66578,3,13
10,0.1,0.8,2.66949e+07,3.05e+07,7885288,2281379,2.62573,3,13
10,10,0.3,2.35308e+07,3.05e+07,10165959,708,2.3145,3,11
10,10,0.5,2.66878e+07,3.05e+07,7928178,2238489,2.62503,3,13
10,10,0.8,2.66945e+07,3.05e+07,7885286,2281381,2.62569,3,13
10,0.01,0.3,2.89988e+07,3.05e+07,8371326,1795341,2.85234,3,13
10,0.01,0.5,2.75831e+07,3.05e+07,7928178,2238489,2.71309,3,13
