KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,882054,1.19437e+06,157791,12833,5.16958,7,0
4,1,0.5,792813,1.19437e+06,153256,17368,4.64655,7,0
4,1,0.8,710606,1.19437e+06,148385,22239,4.16475,7,0
4,0.1,0.3,830754,1.19437e+06,153256,17368,4.86891,7,0
4,0.1,0.5,830754,1.19437e+06,153256,17368,4.86891,7,0
4,0.1,0.8,722588,1.19437e+06,148385,22239,4.23497,7,0
4,10,0.3,1.10497e+06,1.19437e+06,170544,80,6.47603,7,0
4,10,0.5,782898,1.19437e+06,153256,17368,4.58844,7,0
4,10,0.8,719422,1.19437e+06,148385,22239,4.21642,7,0
4,0.01,0.3,886556,1.19437e+06,153256,17368,5.19596,7,0
4,0.01,0.5,886556,1.19437e+06,153256,17368,5.19596,7,0
4,0.01,0.8,743027,1.19437e+06,148385,22239,4.35476,7,0
4,100,0.3,1.10515e+06,1.19437e+06,170544,80,6.47712,7,0
4,100,0.5,783519,1.19437e+06,153256,17368,4.59208,7,0
4,100,0.8,719422,1.19437e+06,148385,22239,4.21642,7,0
6,1,0.3,890873,1.19437e+06,125370,45254,5.22126,7,0
6,1,0.5,846736,1.19437e+06,117598,53026,4.96259,7,0
6,1,0.8,779908,1.19437e+06,106261,64363,4.57092,7,0
6,0.1,0.3,916165,1.19437e+06,125370,45254,5.3695,7,0
6,0.1,0.5,870847,1.19437e+06,117598,53026,5.10389,7,0
6,0.1,0.8,797571,1.19437e+06,107762,62862,4.67444,7,0
6,10,0.3,1.10565e+06,1.19437e+06,170347,277,6.48004,7,0
6,10,0.5,840156,1.19437e+06,117598,53026,4.92402,7,0
6,10,0.8,784208,1.19437e+06,106261,64363,4.59612,7,0
6,0.01,0.3,953663,1.19437e+06,125370,45254,5.58927,7,0
6,0.01,0.5,906055,1.19437e+06,117598,53026,5.31024,7,0
6,0.01,0.8,816842,1.19437e+06,107762,62862,4.78738,7,0
6,100,0.3,1.10584e+06,1.19437e+06,170347,277,6.48115,7,0
6,100,0.5,840647,1.19437e+06,117598,53026,4.9269,7,0
6,100,0.8,784209,1.19437e+06,106261,64363,4.59612,7,0
8,1,0.3,935780,1.19437e+06,86401,84223,5.48446,7,0
8,1,0.5,915875,1.19437e+06,79218,91406,5.3678,7,0
8,1,0.8,877007,1.19437e+06,67009,103615,5.14,7,0
8,0.1,0.3,950688,1.19437e+06,86401,84223,5.57183,7,0
8,0.1,0.5,929947,1.19437e+06,79218,91406,5.45027,7,0
8,0.1,0.8,882941,1.19437e+06,67977,102647,5.17477,7,0
8,10,0.3,1.10537e+06,1.19437e+06,170329,295,6.4784,7,0
8,10,0.5,912087,1.19437e+06,79218,91406,5.3456,7,0
8,10,0.8,879453,1.19437e+06,67009,103615,5.15433,7,0
8,0.01,0.3,972802,1.19437e+06,86401,84223,5.70144,7,0
8,0.01,0.5,950474,1.19437e+06,79218,91406,5.57057,7,0
8,0.01,0.8,891395,1.19437e+06,67977,102647,5.22432,7,0
8,100,0.3,1.10556e+06,1.19437e+06,170329,295,6.4795,7,0
8,100,0.5,912588,1.19437e+06,79218,91406,5.34853,7,0
8,100,0.8,879455,1.19437e+06,67009,103615,5.15434,7,0
10,1,0.3,989870,1.19437e+06,61251,109373,5.80147,7,0
10,1,0.5,970576,1.19437e+06,51015,119609,5.68839,7,0
10,1,0.8,949438,1.19437e+06,41363,129261,5.56451,7,0
10,0.1,0.3,998503,1.19437e+06,61251,109373,5.85207,7,0
10,0.1,0.5,978419,1.19437e+06,51015,119609,5.73436,7,0
10,0.1,0.8,951825,1.19437e+06,41363,129261,5.57849,7,0
10,10,0.3,1.10538e+06,1.19437e+06,170327,297,6.47843,7,0
10,10,0.5,968474,1.19437e+06,51015,119609,5.67607,7,0
10,10,0.8,951168,1.19437e+06,40786,129838,5.57464,7,0
