KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,4.77977e+07,4.53364e+07,22668089,136,2.10858,2,16
4,1,0.5,4.81457e+07,4.53364e+07,22667999,226,2.12393,2,17
4,1,0.8,4.73321e+07,4.53364e+07,22667968,257,2.08804,2,18
4,0.1,0.3,5.23255e+07,4.53364e+07,22667999,226,2.30832,2,17
4,0.1,0.5,5.23255e+07,4.53364e+07,22667999,226,2.30832,2,17
4,0.1,0.8,4.76603e+07,4.53364e+07,22667968,257,2.10251,2,18
4,10,0.3,4.5241e+07,4.53364e+07,22668209,16,1.99579,2,15
4,10,0.5,4.6886e+07,4.53364e+07,22667999,226,2.06836,2,17
4,10,0.8,4.74199e+07,4.53364e+07,22667968,257,2.09191,2,18
4,0.01,0.3,5.84726e+07,4.53364e+07,22667999,226,2.5795,2,17
4,0.01,0.5,5.84726e+07,4.53364e+07,22667999,226,2.5795,2,17
4,0.01,0.8,4.82028e+07,4.53364e+07,22667968,257,2.12645,2,18
4,100,0.3,4.5241e+07,4.53364e+07,22668209,16,1.99579,2,15
4,100,0.5,4.68404e+07,4.53364e+07,22667999,226,2.06634,2,17
4,100,0.8,4.74199e+07,4.53364e+07,22667968,257,2.09191,2,18
6,1,0.3,4.55666e+07,4.53364e+07,22665699,2526,2.01016,2,17
6,1,0.5,4.56242e+07,4.53364e+07,22664925,3300,2.01269,2,18
6,1,0.8,4.67939e+07,4.53364e+07,22664129,4096,2.0643,2,19
6,0.1,0.3,4.87922e+07,4.53364e+07,22665699,2526,2.15245,2,17
6,0.1,0.5,4.83013e+07,4.53364e+07,22664925,3300,2.13079,2,18
6,0.1,0.8,4.64421e+07,4.53364e+07,22664213,4012,2.04877,2,19
6,10,0.3,4.52902e+07,4.53364e+07,22668092,133,1.99796,2,16
6,10,0.5,4.48688e+07,4.53364e+07,22664925,3300,1.97937,2,18
6,10,0.8,4.71925e+07,4.53364e+07,22664129,4096,2.08188,2,19
6,0.01,0.3,5.35552e+07,4.53364e+07,22665699,2526,2.36257,2,17
