KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,2.5885e+07,3.05e+07,10166342,325,2.54607,3,7
4,1,0.5,2.61473e+07,3.05e+07,10166190,477,2.57187,3,7
4,1,0.8,2.5589e+07,3.05e+07,10166155,512,2.51695,3,8
4,0.1,0.3,2.77769e+07,3.05e+07,10166190,477,2.73216,3,7
4,0.1,0.5,2.77769e+07,3.05e+07,10166190,477,2.73216,3,7
4,0.1,0.8,2.5642e+07,3.05e+07,10166155,512,2.52216,3,8
4,10,0.3,2.35306e+07,3.05e+07,10166651,16,2.31448,3,6
4,10,0.5,2.56547e+07,3.05e+07,10166190,477,2.52341,3,7
4,10,0.8,2.55741e+07,3.05e+07,10166155,512,2.51548,3,8
4,0.01,0.3,3.01953e+07,3.05e+07,10166190,477,2.97003,3,7
4,0.01,0.5,3.01953e+07,3.05e+07,10166190,477,2.97003,3,7
4,0.01,0.8,2.57242e+07,3.05e+07,10166155,512,2.53025,3,8
4,100,0.3,2.35306e+07,3.05e+07,10166651,16,2.31449,3,6
4,100,0.5,2.55827e+07,3.05e+07,10166190,477,2.51633,3,7
4,100,0.8,2.55741e+07,3.05e+07,10166155,512,2.51548,3,8
6,1,0.3,2.60185e+07,3.05e+07,10158561,8106,2.55919,3,8
6,1,0.5,2.5924e+07,3.05e+07,10156926,9741,2.5499,3,8
6,1,0.8,2.55863e+07,3.05e+07,10156427,10240,2.51669,3,8
6,0.1,0.3,2.75578e+07,3.05e+07,10158561,8106,2.7106,3,8
6,0.1,0.5,2.69123e+07,3.05e+07,10156926,9741,2.64711,3,8
6,0.1,0.8,2.56484e+07,3.05e+07,10156432,10235,2.5228,3,8
6,10,0.3,2.35304e+07,3.05e+07,10166563,104,2.31447,3,7
6,10,0.5,2.56309e+07,3.05e+07,10156926,9741,2.52107,3,8
6,10,0.8,2.55855e+07,3.05e+07,10156427,10240,2.51661,3,8
6,0.01,0.3,2.98663e+07,3.05e+07,10158561,8106,2.93767,3,8
6,0.01,0.5,2.83845e+07,3.05e+07,10156926,9741,2.79192,3,8
6,0.01,0.8,2.57222e+07,3.05e+07,10156432,10235,2.53005,3,8
6,100,0.3,2.35305e+07,3.05e+07,10166563,104,2.31447,3,7
6,100,0.5,2.55888e+07,3.05e+07,10156926,9741,2.51693,3,8
6,100,0.8,2.55855e+07,3.05e+07,10156427,10240,2.51661,3,8
8,1,0.3,2.60084e+07,3.05e+07,9996346,170321,2.5582,3,9
8,1,0.5,2.58779e+07,3.05e+07,9976328,190339,2.54537,3,9
8,1,0.8,2.56717e+07,3.05e+07,9970064,196603,2.52509,3,10
8,0.1,0.3,2.71778e+07,3.05e+07,9996346,170321,2.67323,3,9
8,0.1,0.5,2.65022e+07,3.05e+07,9976328,190339,2.60678,3,9
8,0.1,0.8,2.56768e+07,3.05e+07,9970068,196599,2.52558,3,10
8,10,0.3,2.35305e+07,3.05e+07,10166393,274,2.31447,3,8
8,10,0.5,2.56956e+07,3.05e+07,9976328,190339,2.52744,3,9
8,10,0.8,2.56717e+07,3.05e+07,9970064,196603,2.52508,3,10
8,0.01,0.3,2.89285e+07,3.05e+07,9996346,170321,2.84542,3,9
8,0.01,0.5,2.74345e+07,3.05e+07,9976328,190339,2.69848,3,10
8,0.01,0.8,2.56827e+07,3.05e+07,9970068,196599,2.52617,3,10
8,100,0.3,2.35305e+07,3.05e+07,10166393,274,2.31447,3,8
8,100,0.5,2.56702e+07,3.05e+07,9976328,190339,2.52494,3,10
8,100,0.8,2.56717e+07,3.05e+07,9970064,196603,2.52508,3,10
10,1,0.3,2.66038e+07,3.05e+07,8371326,1795341,2.61677,3,13
10,1,0.5,2.67808e+07,3.05e+07,7928178,2238489,2.63417,3,13
10,1,0.8,2.66948e+07,3.05e+07,7885288,2281379,2.62572,3,13
10,0.1,0.3,2.75566e+07,3.05e+07,8371326,1795341,2.71049,3,13
10,0.1,0.5,2.71023e+07,3.05e+07,7928178,2238489,2.6658,3,13
10,0.1,0.8,2.66951e+07,3.05e+07,7885288,2281379,2.62575,3,13
10,10,0.3,2.3531e+07,3.05e+07,10165959,708,2.31453,3,11
10,10,0.5,2.6688e+07,3.05e+07,7928178,2238489,2.62505,3,13
10,10,0.8,2.66947e+07,3.05e+07,7885286,2281381,2.62571,3,13
10,0.01,0.3,2.8999e+07,3.05e+07,8371326,1795341,2.85236,3,13
10,0.01,0.5,2.75833e+07,3.05e+07,7928178,2238489,2.71311,3,13
10,0.01,0.8,2.66955e+07,3.05e+07,7885288,2281379,2.62579,3,13
10,100,0.3,2.35311e+07,3.05e+07,10165959,708,2.31453,3,11
10,100,0.5,2.66754e+07,3.05e+07,7928178,2238489,2.62381,3,13
10,100,0.8,2.66947e+07,3.05e+07,7885286,2281381,2.62571,3,13
12,1,0.3,2.94935e+07,3.05e+07,2178650,7988017,2.901,3,19
12,1,0.5,2.96568e+07,3.05e+07,1780712,8385955,2.91706,3,19
12,1,0.8,2.96599e+07,3.05e+07,1741980,8424687,2.91736,3,19
12,0.1,0.3,2.97021e+07,3.05e+07,2178650,7988017,2.92151,3,18
12,0.1,0.5,2.97051e+07,3.05e+07,1780712,8385955,2.92181,3,19
12,0.1,0.8,2.96599e+07,3.05e+07,1741987,8424680,2.91737,3,19
12,10,0.3,2.35363e+07,3.05e+07,10156753,9914,2.31505,3,16
12,10,0.5,2.9643e+07,3.05e+07,1780712,8385955,2.91571,3,19
12,10,0.8,2.96599e+07,3.05e+07,1741980,8424687,2.91736,3,19
12,0.01,0.3,3.00169e+07,3.05e+07,2178650,7988017,2.95248,3,18
12,0.01,0.5,2.97773e+07,3.05e+07,1780712,8385955,2.92892,3,19
12,0.01,0.8,2.966e+07,3.05e+07,1741987,8424680,2.91738,3,18
12,100,0.3,2.35364e+07,3.05e+07,10156753,9914,2.31505,3,16
12,100,0.5,2.96412e+07,3.05e+07,1780712,8385955,2.91553,3,18
12,100,0.8,2.96599e+07,3.05e+07,1741980,8424687,2.91736,3,18
14,1,0.3,3.04092e+07,3.05e+07,187842,9978825,2.99106,3,19
14,1,0.5,3.04425e+07,3.05e+07,118953,10047714,2.99434,3,19
14,1,0.8,3.04429e+07,3.05e+07,116668,10049999,2.99438,3,19
14,0.1,0.3,3.04435e+07,3.05e+07,142440,10024227,2.99445,3,19
14,0.1,0.5,3.04446e+07,3.05e+07,118953,10047714,2.99456,3,19
14,0.1,0.8,3.04429e+07,3.05e+07,116668,10049999,2.99438,3,19
14,10,0.3,2.86471e+07,3.05e+07,2835871,7330796,2.81775,3,19
14,10,0.5,3.04419e+07,3.05e+07,118953,10047714,2.99429,3,19
14,10,0.8,3.04429e+07,3.05e+07,116668,10049999,2.99438,3,20
14,0.01,0.3,3.04597e+07,3.05e+07,142440,10024227,2.99604,3,19
14,0.01,0.5,3.04479e+07,3.05e+07,118953,10047714,2.99487,3,19
14,0.01,0.8,3.04429e+07,3.05e+07,116668,10049999,2.99438,3,19
14,100,0.3,2.3563e+07,3.05e+07,10119094,47573,2.31767,3,17
14,100,0.5,3.04418e+07,3.05e+07,118953,10047714,2.99428,3,19
14,100,0.8,3.04429e+07,3.05e+07,116668,10049999,2.99438,3,20
16,1,0.3,3.04944e+07,3.05e+07,9434,10157233,2.99945,3,23
16,1,0.5,3.04955e+07,3.05e+07,6954,10159713,2.99956,3,23
16,1,0.8,3.04955e+07,3.05e+07,6830,10159837,2.99956,3,23
16,0.1,0.3,3.04952e+07,3.05e+07,9434,10157233,2.99953,3,23
16,0.1,0.5,3.04956e+07,3.05e+07,6954,10159713,2.99957,3,23
16,0.1,0.8,3.04955e+07,3.05e+07,6830,10159837,2.99956,3,23
16,10,0.3,3.02205e+07,3.05e+07,417905,9748762,2.97251,3,23
16,10,0.5,3.04955e+07,3.05e+07,6954,10159713,2.99956,3,23
16,10,0.8,3.04956e+07,3.05e+07,6830,10159837,2.99956,3,23
16,0.01,0.3,3.04964e+07,3.05e+07,9434,10157233,2.99964,3,23
16,0.01,0.5,3.04958e+07,3.05e+07,6954,10159713,2.99958,3,23
