KmerSize,Alpha,Threshold,NBits,DefaultNBits,EncodedChars,NonEncodedChars,BitsPerChar,DefaultBitsPerChar,Duration(s) 
4,1,0.3,4.77975e+07,4.53364e+07,22668089,272,2.10857,2,15
4,1,0.5,4.81455e+07,4.53364e+07,22667999,452,2.12392,2,16
4,1,0.8,4.73319e+07,4.53364e+07,22667968,514,2.08803,2,17
4,0.1,0.3,5.23253e+07,4.53364e+07,22667999,452,2.30831,2,16
4,0.1,0.5,5.23253e+07,4.53364e+07,22667999,452,2.30831,2,16
4,0.1,0.8,4.76601e+07,4.53364e+07,22667968,514,2.10251,2,17
4,10,0.3,4.52408e+07,4.53364e+07,22668209,32,1.99578,2,14
4,10,0.5,4.68859e+07,4.53364e+07,22667999,452,2.06835,2,16
4,10,0.8,4.74197e+07,4.53364e+07,22667968,514,2.0919,2,17
4,0.01,0.3,5.84724e+07,4.53364e+07,22667999,452,2.57949,2,16
4,0.01,0.5,5.84724e+07,4.53364e+07,22667999,452,2.57949,2,16
4,0.01,0.8,4.82026e+07,4.53364e+07,22667968,514,2.12644,2,17
4,100,0.3,4.52409e+07,4.53364e+07,22668209,32,1.99578,2,14
4,100,0.5,4.68402e+07,4.53364e+07,22667999,452,2.06634,2,16
4,100,0.8,4.74197e+07,4.53364e+07,22667968,514,2.0919,2,17
6,1,0.3,4.55665e+07,4.53364e+07,22665699,5052,2.01015,2,16
6,1,0.5,4.5624e+07,4.53364e+07,22664925,6600,2.01269,2,17
6,1,0.8,4.67938e+07,4.53364e+07,22664129,8192,2.06429,2,18
6,0.1,0.3,4.8792e+07,4.53364e+07,22665699,5052,2.15244,2,16
6,0.1,0.5,4.83011e+07,4.53364e+07,22664925,6600,2.13078,2,17
6,0.1,0.8,4.64419e+07,4.53364e+07,22664213,8024,2.04877,2,18
6,10,0.3,4.529e+07,4.53364e+07,22668092,266,1.99795,2,15
6,10,0.5,4.48686e+07,4.53364e+07,22664925,6600,1.97936,2,17
6,10,0.8,4.71923e+07,4.53364e+07,22664129,8192,2.08187,2,18
6,0.01,0.3,5.3555e+07,4.53364e+07,22665699,5052,2.36256,2,16
6,0.01,0.5,5.22526e+07,4.53364e+07,22664925,6600,2.3051,2,17
6,0.01,0.8,4.70013e+07,4.53364e+07,22664213,8024,2.07344,2,18
6,100,0.3,4.529e+07,4.53364e+07,22668092,266,1.99795,2,15
6,100,0.5,4.50259e+07,4.53364e+07,22664925,6600,1.9863,2,17
6,100,0.8,4.71924e+07,4.53364e+07,22664129,8192,2.08187,2,18
8,1,0.3,4.12468e+07,4.53364e+07,22621310,93830,1.81959,2,17
8,1,0.5,4.14572e+07,4.53364e+07,22612891,110668,1.82887,2,18
8,1,0.8,4.50926e+07,4.53364e+07,22602781,130888,1.98924,2,19
8,0.1,0.3,4.3611e+07,4.53364e+07,22621310,93830,1.92388,2,17
8,0.1,0.5,4.31807e+07,4.53364e+07,22612891,110668,1.9049,2,18
8,0.1,0.8,4.46713e+07,4.53364e+07,22603391,129668,1.97066,2,19
8,10,0.3,4.52942e+07,4.53364e+07,22667966,518,1.99814,2,15
8,10,0.5,4.10629e+07,4.53364e+07,22612891,110668,1.81147,2,18
8,10,0.8,4.62323e+07,4.53364e+07,22602781,130888,2.03952,2,19
8,0.01,0.3,4.71042e+07,4.53364e+07,22621310,93830,2.07798,2,17
8,0.01,0.5,4.57332e+07,4.53364e+07,22612891,110668,2.0175,2,18
8,0.01,0.8,4.49589e+07,4.53364e+07,22603391,129668,1.98334,2,19
8,100,0.3,4.52943e+07,4.53364e+07,22667966,518,1.99814,2,15
8,100,0.5,4.15802e+07,4.53364e+07,22612891,110668,1.83429,2,18
8,100,0.8,4.62323e+07,4.53364e+07,22602781,130888,2.03952,2,19
10,1,0.3,3.83452e+07,4.53364e+07,22150869,1034712,1.69159,2,21
10,1,0.5,3.81653e+07,4.53364e+07,21921293,1493864,1.68365,2,22
10,1,0.8,4.16952e+07,4.53364e+07,21758943,1818564,1.83937,2,23
10,0.1,0.3,4.00808e+07,4.53364e+07,22150869,1034712,1.76815,2,21
10,0.1,0.5,3.93176e+07,4.53364e+07,21921293,1493864,1.73448,2,22
10,0.1,0.8,4.18579e+07,4.53364e+07,21758943,1818564,1.84655,2,24
10,10,0.3,4.52928e+07,4.53364e+07,22667606,1238,1.99807,2,19
10,10,0.5,3.79989e+07,4.53364e+07,21921293,1493864,1.6763,2,22
10,10,0.8,4.49693e+07,4.53364e+07,21751582,1833286,1.9838,2,24
10,0.01,0.3,4.26568e+07,4.53364e+07,22150869,1034712,1.88179,2,21
10,0.01,0.5,4.10288e+07,4.53364e+07,21921293,1493864,1.80997,2,22
10,0.01,0.8,4.21661e+07,4.53364e+07,21758943,1818564,1.86014,2,23
10,100,0.3,4.52928e+07,4.53364e+07,22667606,1238,1.99808,2,19
10,100,0.5,3.88357e+07,4.53364e+07,21921293,1493864,1.71322,2,22
10,100,0.8,4.49693e+07,4.53364e+07,21751582,1833286,1.9838,2,24
12,1,0.3,3.85783e+07,4.53364e+07,18536152,8264146,1.70187,2,27
12,1,0.5,3.89083e+07,4.53364e+07,17422305,10491840,1.71643,2,27
12,1,0.8,4.33982e+07,4.53364e+07,15933088,13470274,1.91449,2,29
12,0.1,0.3,3.96655e+07,4.53364e+07,18536152,8264146,1.74983,2,27
12,0.1,0.5,3.9579e+07,4.53364e+07,17422305,10491840,1.74601,2,27
12,0.1,0.8,4.26433e+07,4.53364e+07,16091226,13153998,1.88119,2,29
12,10,0.3,4.52928e+07,4.53364e+07,22667604,1242,1.99807,2,25
12,10,0.5,3.89052e+07,4.53364e+07,17422305,10491840,1.71629,2,27
12,10,0.8,4.66096e+07,4.53364e+07,15862501,13611448,2.05617,2,29
12,0.01,0.3,4.12691e+07,4.53364e+07,18536152,8264146,1.82057,2,27
12,0.01,0.5,4.05761e+07,4.53364e+07,17422305,10491840,1.79,2,27
12,0.01,0.8,4.30527e+07,4.53364e+07,16091226,13153998,1.89925,2,28
12,100,0.3,4.52928e+07,4.53364e+07,22667604,1242,1.99808,2,25
12,100,0.5,3.98932e+07,4.53364e+07,17422305,10491840,1.75987,2,27
12,100,0.8,4.66096e+07,4.53364e+07,15862501,13611448,2.05617,2,29
14,1,0.3,4.14896e+07,4.53364e+07,13615862,18104726,1.8303,2,32
14,1,0.5,4.20976e+07,4.53364e+07,11643550,22049350,1.85712,2,32
14,1,0.8,4.652e+07,4.53364e+07,8788955,27758540,2.05221,2,33
14,0.1,0.3,4.19972e+07,4.53364e+07,12787619,19761212,1.85269,2,32
14,0.1,0.5,4.24306e+07,4.53364e+07,11643550,22049350,1.87181,2,32
14,0.1,0.8,4.67272e+07,4.53364e+07,8788955,27758540,2.06135,2,33
14,10,0.3,4.25035e+07,4.53364e+07,20558451,4219548,1.87503,2,30
14,10,0.5,4.21842e+07,4.53364e+07,11643550,22049350,1.86094,2,32
14,10,0.8,5.05776e+07,4.53364e+07,8272298,28791854,2.23121,2,34
14,0.01,0.3,4.2624e+07,4.53364e+07,12787619,19761212,1.88034,2,32
14,0.01,0.5,4.29271e+07,4.53364e+07,11643550,22049350,1.89371,2,32
